TransactionID,ProdID,ClientID,DatePurchased
87,9,60,20180915
420,6,76,20070507
678,5,41,20031120
303,8,31,20070217
914,8,97,20010614
187,0,40,20060829
855,8,13,20010516
297,6,26,20020324
991,4,89,20130419
283,6,0,20170910
641,9,23,20001125
406,3,22,20080803
151,4,85,20030602
869,2,16,20110810
352,3,81,19990831
299,1,73,20000305
472,4,56,20131123
615,6,74,20111002
903,0,16,20040612
277,0,86,20020902
15,4,78,20100321
72,8,53,20121217
799,8,85,20151012
133,3,56,20100813
243,9,95,20140303
39,0,67,20130326
937,7,74,20090925
253,2,71,20030305
163,4,53,20020920
59,3,96,20090927
160,0,29,20000218
384,2,66,20070203
951,3,2,20060403
467,8,86,20100505
859,1,77,20160323
365,7,12,20000727
669,1,78,20060905
982,7,64,20120129
887,8,59,20000403
798,9,59,20170913
122,5,24,20060630
802,0,40,20180603
935,6,73,20001219
912,9,54,20151001
518,8,61,20140610
720,8,20,20100406
708,9,42,20121028
443,7,32,20110730
212,6,2,20120517
495,7,31,20140116
235,8,2,20110114
159,4,87,20180822
228,6,85,19990205
404,8,79,20041227
180,4,8,20050910
608,3,27,20120913
898,9,25,20160908
499,0,97,20010605
232,9,22,20030529
562,3,89,20030413
98,7,39,20061008
193,5,36,20020613
93,7,56,20050609
728,8,78,20100529
396,8,10,20090131
130,0,2,20061022
943,9,3,20140928
581,9,44,20040316
118,6,54,19990305
484,2,55,20111010
946,6,95,20180823
777,9,89,20041029
977,9,81,20170731
757,2,53,20060412
317,7,54,20170307
776,5,42,20170710
355,5,83,20180814
152,8,20,20100802
702,9,78,20170327
272,4,7,20170122
591,4,62,20170818
318,2,99,20181012
115,3,40,20170123
343,3,14,20130222
97,9,80,20040731
344,9,45,20150219
95,2,21,20110323
106,6,82,20051013
390,4,97,20120215
901,6,68,20040112
997,3,44,20081001
246,9,12,20080122
48,5,89,20140920
931,4,96,20051221
897,6,3,20010930
147,4,16,20150617
598,4,7,20070115
833,8,99,20150228
629,4,52,20070831
254,8,22,20030322
465,5,87,20080505
995,6,11,20080328
335,4,33,20141019
247,1,58,20030901
485,1,72,20170713
939,3,7,20140426
273,6,28,20170903
892,0,32,20021129
954,4,18,20010714
557,3,11,20011003
312,0,63,20100526
832,0,53,20090925
829,3,9,20060813
304,3,88,20000103
664,6,22,20080908
607,5,11,20121028
436,8,52,20130410
451,3,91,20120522
223,9,99,20090905
999,2,91,20130616
928,3,46,20080904
816,0,19,20021115
153,5,66,20090526
938,2,50,20150324
111,0,9,20170205
880,1,60,20000702
44,6,2,20160205
296,6,79,19990714
646,2,85,20020226
556,9,22,19991117
690,4,98,20110628
50,2,11,20000903
512,4,49,20110304
366,0,38,20141208
595,3,7,20010211
718,2,49,20080403
838,5,97,20031114
20,1,8,20100316
752,6,34,20000814
927,1,25,20100627
924,2,95,20120201
22,9,93,20100307
996,0,31,19990114
328,6,11,20020115
681,6,5,20110216
453,9,44,20171114
792,1,10,20071015
268,7,70,20101107
948,1,35,20080419
3,8,27,20061206
528,4,52,20060110
489,8,82,20170127
649,4,56,20100414
582,1,31,19990909
279,5,57,20170403
782,6,41,20040107
929,4,29,20180416
541,0,66,20000904
398,6,63,20160420
763,9,66,20060313
808,4,20,20180214
933,7,76,20090605
797,3,71,20031231
793,1,39,19990315
183,9,1,20100726
712,5,87,19990501
205,4,48,20051003
560,3,64,20030828
154,0,88,20170604
477,6,28,20070527
794,0,1,20060906
219,6,35,20170713
567,7,73,20151204
542,3,74,20010712
281,7,1,20111031
620,1,85,20070818
51,8,58,20011023
222,3,22,20160219
971,8,80,20120722
558,7,43,20100516
333,1,30,20040827
703,5,29,20040731
251,6,30,20080106
135,3,33,20050709
146,7,45,20020326
655,5,66,20180523
953,6,95,20110614
895,2,6,20080616
652,0,92,20150202
320,4,66,20161203
274,4,6,20161209
347,9,66,20170520
185,5,71,19991024
962,5,10,20081120
585,5,86,20130826
91,1,80,20140530
394,9,29,20020315
82,6,47,20091227
322,3,41,20151021
364,6,29,20110220
245,5,83,20091101
680,8,83,19991124
805,6,90,20080804
992,8,75,20040709
209,8,67,20090320
410,3,71,20110123
14,3,19,20020626
749,7,93,20180906
208,1,90,20140724
413,7,57,20050509
989,5,56,20050719
381,2,55,20010517
860,8,20,20180906
707,9,74,20170714
367,9,68,20181217
238,3,97,20160615
851,3,86,19991012
765,1,3,20070530
407,8,77,20160612
244,5,21,20060724
535,9,22,20130323
169,1,77,20001229
983,6,71,20110216
592,6,45,20040117
686,0,67,20040124
566,2,31,20080131
175,5,76,20081011
813,6,16,20161211
284,5,96,20080227
114,5,67,20110309
374,4,29,20021002
113,0,96,20090201
502,9,52,20051209
37,7,83,20151106
105,7,60,20180412
766,5,48,20070104
291,6,7,20080418
36,0,9,20041004
262,6,28,20070809
21,1,60,20050404
699,0,9,20010310
454,9,8,20041015
635,0,90,20130429
341,1,74,20120120
778,8,93,20060917
952,9,92,20140706
515,2,82,20180307
743,8,59,20001218
672,4,14,20090127
603,6,62,20160117
611,3,22,20030516
168,8,26,20160724
391,4,87,20010104
715,8,38,20130724
628,5,50,20151112
142,0,66,20120517
750,6,13,20080625
319,3,89,20000829
400,0,62,20010308
701,1,24,20180813
519,8,12,20070926
310,8,18,20050126
437,2,85,20021120
668,1,87,20080206
987,6,64,20161117
392,0,54,20140504
821,3,6,20020131
271,7,32,20150411
733,1,45,20100812
921,6,95,20051001
790,3,9,20110109
141,1,2,20040420
772,7,92,20060416
791,0,9,20080813
501,8,96,20130314
768,7,18,20181126
117,7,46,20171228
30,2,37,20080504
167,4,90,20161228
858,1,55,20171207
423,6,17,20111110
158,0,70,20101102
886,8,70,20050713
308,8,54,20111219
900,7,6,20150309
769,9,15,20110916
426,0,31,20020301
724,9,31,20160604
217,4,70,20100920
432,1,39,20030629
693,7,31,19990820
597,0,18,20040720
857,3,39,20160705
402,4,62,20170418
846,4,3,20150324
469,2,14,20050125
96,3,16,20050820
984,1,31,20040621
316,8,61,20170521
745,7,46,20080407
540,0,72,20090329
522,8,6,20180805
184,4,20,20160715
363,1,18,20050414
215,9,10,20091209
800,7,87,20120304
674,1,90,20000509
289,9,50,20131219
210,5,67,20140703
188,6,82,20020920
688,2,66,20110210
663,5,0,20060423
207,6,24,20141005
252,9,96,20091218
588,4,80,20120714
418,6,42,20020314
89,5,45,19991014
136,5,73,20030827
46,8,40,20120406
622,7,22,20070518
449,3,78,20040313
923,4,30,20080106
696,3,99,20101212
17,3,76,19991026
525,3,3,19990110
110,3,13,20170316
505,1,72,20020209
570,1,60,20180111
692,3,76,20050616
482,8,1,20180622
249,0,16,20000505
827,6,2,20030912
964,9,32,20010709
138,7,29,20050427
468,4,77,20120102
905,9,22,20130512
58,5,40,20070528
69,9,40,20141117
34,6,6,20120314
638,5,72,20141222
533,9,32,20091130
685,9,10,20000114
534,9,15,20140518
12,2,99,20050507
416,5,67,20170622
840,9,70,20090413
965,1,94,20120409
33,3,1,20101103
970,8,67,20180914
807,8,5,20091001
408,2,44,20160717
818,5,85,20030808
979,2,50,20041030
86,9,52,20091218
739,1,30,20070814
474,2,51,20100908
975,7,88,20101123
229,0,99,20080909
182,8,39,20151021
549,6,15,20100623
738,9,5,20070710
918,8,64,20090730
513,3,45,19991012
45,7,84,20120201
648,2,26,19991116
890,6,2,20040515
969,6,86,20011227
879,8,87,20110915
545,4,13,20070818
583,3,63,20070415
645,8,30,20090328
23,8,5,20031014
639,9,42,20030731
464,2,13,20021121
285,2,67,20040713
71,9,85,20091117
165,5,96,20140813
930,3,77,20180607
744,1,98,20070402
286,9,18,20010918
605,8,61,20130227
108,6,11,20180401
633,2,56,20000201
627,5,23,20050731
976,4,87,20061230
101,6,72,20100921
88,7,79,20141123
270,2,0,20000526
809,4,34,20071006
26,5,16,20080929
450,8,15,20090116
349,7,96,20070814
844,0,29,20030814
440,6,87,20170610
654,0,20,20021020
539,6,54,20020326
675,2,87,20120123
723,3,22,20110221
736,4,23,20110915
379,5,77,20051001
849,2,11,20010511
65,1,74,20011215
587,4,24,20010830
35,1,95,20041202
250,5,56,20061129
10,9,58,20080124
906,5,14,20060406
103,7,44,20000608
593,9,68,20070131
386,4,71,20161016
376,1,86,20101109
29,6,93,20030414
599,1,81,20070616
129,9,98,20070811
536,3,45,20080309
741,1,65,20111004
815,7,42,20110604
189,7,95,20030319
632,9,87,20100128
872,5,74,20080304
803,6,83,20161201
78,3,20,20151118
754,8,44,20050910
446,7,46,20070909
455,9,47,20170106
993,2,30,20170311
348,3,90,20170304
213,7,39,20101207
8,1,83,20100326
961,4,40,19990909
740,6,86,20010911
568,6,10,20180406
602,9,81,19990209
25,9,90,20050102
173,5,15,20170918
424,4,4,20060807
57,8,83,20060927
288,5,91,20150824
397,4,7,19990829
221,5,45,20030617
361,1,4,20040430
5,7,78,20150817
848,0,14,20081016
504,7,7,20070118
24,9,13,20060215
865,1,39,20041222
481,3,83,20011125
722,3,82,20010604
756,6,61,20050413
162,1,29,20091231
553,9,60,20070724
575,5,18,20140517
311,4,46,20180117
419,6,97,20140228
326,3,0,19990110
80,2,67,20140720
156,6,11,20120622
503,9,94,20000702
411,4,13,20150131
429,9,48,20000914
176,7,82,20090309
619,6,19,20080924
302,3,80,20010811
899,4,64,20080606
264,9,67,20060219
507,1,93,20180619
309,3,67,20061229
132,7,87,20170506
362,7,99,20050508
773,0,4,20120910
16,7,62,20110503
671,2,70,20150410
806,5,71,20060829
640,4,81,20170212
315,5,98,20081105
475,0,30,20160609
393,8,33,20041116
422,4,52,20090810
960,3,71,20120803
774,9,89,20090424
433,6,81,20000226
737,4,40,20161018
287,9,52,20001221
331,6,18,20180812
104,0,94,20070117
576,2,83,20110831
353,4,37,20170730
375,0,72,20121129
687,4,12,19990427
370,2,70,20140126
877,9,83,20111209
439,0,77,20120907
697,4,90,20160529
759,2,96,20030305
586,6,23,20100407
211,5,21,20110906
478,7,34,19990724
480,6,51,20020120
447,1,87,20000229
54,2,45,20090413
907,3,95,20140314
19,3,85,20121031
742,5,71,20091205
259,2,21,20070527
910,4,81,20010509
538,6,89,20051121
729,7,34,20030417
492,6,3,20110118
624,1,90,20061216
56,4,46,20120808
401,4,40,20080830
332,8,1,20121223
915,0,93,20180612
656,1,86,20080805
452,8,89,20081104
753,7,47,20000628
767,5,66,19990818
53,8,39,20171211
609,8,22,20001222
830,1,22,20001222
382,4,27,20020906
941,1,46,20080409
700,3,47,20110602
179,1,13,20180523
487,6,52,20100608
11,4,81,20041214
532,1,42,20130623
956,8,12,20080527
868,8,98,20010614
459,9,70,20070812
124,8,35,20040924
574,0,4,20050921
127,9,87,20090425
237,4,36,20121228
351,9,70,20160724
908,9,87,20180514
373,4,73,20010712
590,2,89,20030224
980,9,58,20131110
102,8,66,20060725
781,9,75,20141107
177,0,48,20161015
377,6,92,20150403
878,9,69,20160913
665,9,8,20150717
988,9,40,20010315
691,9,95,20121102
395,2,77,20130903
0,4,58,20010620
606,2,94,20031007
994,1,52,20100328
990,8,57,20050625
242,1,32,19990715
762,9,58,20080828
338,6,16,20090719
357,5,31,19990116
614,3,11,20011025
435,8,13,20181226
278,8,21,20000731
643,6,10,20040319
442,9,52,20030307
714,2,46,20130918
698,3,31,20030522
985,1,78,20180424
934,7,29,20001212
796,7,21,20180903
673,6,15,20170527
626,3,41,20050329
336,5,94,20010122
471,5,94,20030531
631,0,42,20040125
843,9,57,19991128
190,0,66,20150825
967,2,34,20140602
732,9,16,20101011
524,7,69,20180711
47,4,27,20170910
863,0,92,20000703
4,9,39,20140608
981,7,69,20020509
516,0,54,20030817
657,0,33,20030916
812,4,65,20001019
873,8,93,20170208
630,0,47,20030504
172,6,47,20010322
385,6,99,20110421
842,3,63,20010416
647,2,68,20170827
236,9,59,19991008
604,6,47,20100217
831,8,54,20151017
959,2,71,20031224
121,7,15,20080211
126,4,19,20020904
131,4,28,20100225
747,6,63,20110219
623,0,7,20090425
746,3,77,20040112
109,5,0,20080129
441,0,21,20180504
7,0,22,20010909
40,4,87,20040811
324,0,28,20091016
107,5,28,20170627
564,0,81,20090920
913,7,19,20150222
330,7,41,20001011
137,8,97,20050625
295,4,24,20130705
523,4,60,20140414
139,3,85,20040802
427,7,56,20151231
350,6,29,20060402
483,3,83,20060509
911,0,63,20100707
466,9,46,20141130
955,5,79,20100526
888,0,35,20070310
448,8,0,20170702
949,4,34,20140707
517,9,9,20080903
909,0,32,20030429
676,7,35,20071115
882,3,29,20110730
726,2,28,20141202
828,6,72,20120620
230,4,58,20161027
358,2,0,20070213
18,6,31,20140918
313,5,46,20121007
497,0,46,20080818
966,7,34,20020428
788,9,1,20160228
52,5,53,20040218
261,6,67,20170116
755,6,67,20161028
811,1,64,20140926
409,9,55,20030810
577,3,54,20170529
986,0,88,20120824
578,5,71,20160824
706,4,52,20030217
227,7,62,20100503
300,8,83,20050218
786,1,83,20180621
248,1,43,20010301
2,7,62,20180409
683,2,62,20030602
978,2,75,19990307
835,7,94,20070425
705,9,33,20080716
925,2,4,20170817
76,3,96,20181026
68,6,10,20080402
823,1,96,20021004
214,8,52,20121101
881,2,87,20141031
544,7,35,20120214
571,9,1,20050901
565,1,85,20030126
218,2,13,19991127
314,0,39,20000926
301,4,29,20020317
140,4,58,20080311
850,0,23,20030210
950,2,91,20000109
92,8,77,20160729
748,7,39,20171226
734,8,33,20061013
195,9,98,19990330
321,0,2,20130414
360,5,38,20170808
856,3,21,20091016
819,0,65,20060723
178,7,79,20081029
479,8,22,20090208
884,2,37,20070818
64,6,60,20031220
161,7,55,20121208
6,8,61,20050617
94,6,41,20171020
864,7,69,20000913
403,6,85,20100528
717,8,21,20170724
62,9,62,20120820
891,6,93,20091202
119,0,66,20170929
947,0,54,20161101
500,8,55,20011018
329,3,13,20131106
839,3,71,20051214
771,8,22,19990209
327,0,88,20120616
305,5,65,19990923
942,1,43,20001124
822,7,19,20141217
496,2,85,20030531
67,4,17,20171201
551,1,43,20041204
194,9,1,20010824
298,2,7,20020217
494,5,32,20060615
258,0,60,20070723
186,4,14,20080603
83,3,53,20090322
200,8,7,20130703
677,6,98,20131126
670,8,16,20100423
337,2,46,20000806
461,5,29,20000801
41,5,58,20101001
204,5,66,20100903
345,9,28,20100722
617,0,19,20070608
601,4,50,20080818
174,5,6,20150521
60,7,87,20060831
573,9,36,20000322
371,7,79,20150708
731,9,11,20160426
233,3,79,20030820
405,1,35,20140312
770,3,97,20010806
43,3,74,20150421
90,9,51,20060927
508,1,72,20110907
547,2,91,20100425
902,0,61,20060321
537,3,48,19991016
730,2,42,20140923
634,4,80,20061225
926,8,88,20071015
486,8,71,20100219
240,7,19,20010503
919,7,96,20040819
77,7,67,20090413
625,6,10,20071103
704,5,88,20181004
334,7,24,20040902
521,5,12,20080113
267,1,79,20110725
346,9,21,20081124
789,9,4,20160306
434,6,7,20160608
234,4,78,20070827
721,2,51,20020519
876,6,21,20110701
201,0,5,20120402
689,8,56,20030727
826,8,75,20130525
684,2,82,20081017
75,9,13,20060923
460,2,32,20131222
764,7,44,19990105
417,4,12,20030427
709,9,22,19990812
511,6,47,20120101
589,2,76,20091223
936,4,77,20111115
514,2,47,20000523
415,0,59,20130108
263,0,41,20070727
155,4,60,20150420
957,9,62,19990406
804,8,63,20180212
531,9,52,20050308
306,4,16,20170114
530,1,10,20001023
836,8,91,20080524
861,4,7,20140914
42,7,98,20030823
526,9,18,20130525
199,7,94,20151207
527,8,31,20050901
389,5,34,20050910
780,2,60,20120129
293,2,28,20100129
529,9,25,20040517
543,5,14,20110517
125,5,38,20071207
637,0,93,20100129
904,7,71,19990304
883,7,92,20141030
735,6,13,20101228
555,1,61,20080222
120,0,76,20000329
